,Topic,Word,P
0,0,proses,0.03883985
1,0,terima,0.033807453
2,0,kampus_merdeka,0.0235412
3,0,berkas,0.02353789
4,0,seleksi,0.015398885
5,0,wkwk,0.0139468275
6,0,tanggal,0.013077512
7,0,kampus,0.0129047735
8,0,status,0.012454867
9,0,informasi,0.012056826
10,1,offering,0.024240468
11,1,kasih,0.02094121
12,1,moga,0.019901797
13,1,proses,0.019478444
14,1,mitra,0.01805454
15,1,lolos,0.017105123
16,1,semangat,0.017021615
17,1,udh,0.016879378
18,1,kabar,0.016083756
19,1,msib,0.015424761
20,2,msib,0.030307457
21,2,mitra,0.026744386
22,2,lolos,0.022490576
23,2,salah,0.019716945
24,2,dokumen,0.017866462
25,2,mahasiswa,0.017481664
26,2,daftar,0.014356831
27,2,status,0.01413456
28,2,proses,0.013206199
29,2,banding,0.01305474
